date,date_block_num,shop_id,item_id,item_price,item_cnt_day
02.01.2013,0,59,22154,999,1
03.01.2013,0,25,2552,899,1
05.01.2013,0,25,2552,899,-1
06.01.2013,0,25,2554,1709.05,1
15.01.2013,0,25,2555,1099,1
10.01.2013,0,25,2564,349,1
02.01.2013,0,25,2565,549,1
04.01.2013,0,25,2572,239,1
11.01.2013,0,25,2572,299,1
03.01.2013,0,25,2573,299,3
03.01.2013,0,25,2574,399,2
05.01.2013,0,25,2574,399,1
07.01.2013,0,25,2574,399,1
08.01.2013,0,25,2574,399,2
10.01.2013,0,25,2574,399,1
11.01.2013,0,25,2574,399,2
13.01.2013,0,25,2574,399,1
16.01.2013,0,25,2574,399,1
26.01.2013,0,25,2574,399,1
27.01.2013,0,25,2574,399,1
09.01.2013,0,25,2593,279,1
16.01.2013,0,25,2604,299,1
27.01.2013,0,25,2604,299,1
27.01.2013,0,25,2607,279,1
29.01.2013,0,25,2607,279,1
27.01.2013,0,25,2609,1699,1
06.01.2013,0,25,2548,1708.95,1
26.01.2013,0,25,2611,299,1
02.01.2013,0,25,2546,299,1
06.01.2013,0,25,2515,1649,1
07.01.2013,0,25,2705,1799,1
11.01.2013,0,25,2705,1799,1
26.01.2013,0,25,2705,1799,1
02.01.2013,0,25,2715,899,1
12.01.2013,0,25,2715,898.5,1
02.01.2013,0,25,2716,149,1
23.01.2013,0,25,2716,149,1
02.01.2013,0,25,2719,2699,1
12.01.2013,0,25,2719,2699,1
25.01.2013,0,25,2719,1699,1
30.01.2013,0,25,2720,1699,1
05.01.2013,0,25,2473,899,1
02.01.2013,0,25,2480,58,1
02.01.2013,0,25,2731,599,1
19.01.2013,0,25,2731,599,1
06.01.2013,0,25,2746,299,1
07.01.2013,0,25,2746,299,1
10.01.2013,0,25,2746,299,2
12.01.2013,0,25,2746,299,1
20.01.2013,0,25,2746,299,1
24.01.2013,0,25,2746,299,1
25.01.2013,0,25,2746,299,1
04.01.2013,0,25,2748,1399,1
23.01.2013,0,25,2748,799,1
25.01.2013,0,25,2748,799,1
06.01.2013,0,25,2522,1999,1
19.01.2013,0,25,2614,299,1
27.01.2013,0,25,2614,299,1
11.01.2013,0,25,2798,449,1
16.01.2013,0,25,2833,599,1
19.01.2013,0,25,2833,599,1
21.01.2013,0,25,2833,599,1
22.01.2013,0,25,2833,599,1
27.01.2013,0,25,2833,599,1
28.01.2013,0,25,2833,599,1
14.01.2013,0,25,2835,1999,1
19.01.2013,0,25,2835,1999,1
25.01.2013,0,25,2835,1999,1
06.01.2013,0,25,2836,1999,1
12.01.2013,0,25,2836,1999,1
14.01.2013,0,25,2844,899,1
15.01.2013,0,25,2844,899,1
25.01.2013,0,25,2844,899,1
06.01.2013,0,25,2845,599,1
10.01.2013,0,25,2847,1699,1
26.01.2013,0,25,2847,1699,1
05.01.2013,0,25,2848,99,2
12.01.2013,0,25,2854,449,1
13.01.2013,0,25,2854,449,1
16.01.2013,0,25,2854,449,1
25.01.2013,0,25,2857,1998.5,1
31.01.2013,0,25,2857,1999,1
04.01.2013,0,25,2920,599,1
07.01.2013,0,25,2920,599,1
10.01.2013,0,25,2833,599,1
08.01.2013,0,25,2833,599,1
04.01.2013,0,25,2833,599,1
02.01.2013,0,25,2833,599,1
20.01.2013,0,25,2798,448.5,1
03.01.2013,0,25,2795,949,1
27.01.2013,0,25,2795,949,1
02.01.2013,0,25,2808,999,2
03.01.2013,0,25,2808,999,2
04.01.2013,0,25,2808,999,1
07.01.2013,0,25,2808,999,1
08.01.2013,0,25,2808,999,2
09.01.2013,0,25,2808,999,1
11.01.2013,0,25,2808,999,4
17.01.2013,0,25,2808,999,1
19.01.2013,0,25,2808,999,2
04.01.2013,0,25,2705,1799,1
20.01.2013,0,25,2808,999,1
22.01.2013,0,25,2808,999,1
23.01.2013,0,25,2808,999,1
24.01.2013,0,25,2808,999,1
25.01.2013,0,25,2808,999,2
26.01.2013,0,25,2808,999,1
27.01.2013,0,25,2808,999,3
28.01.2013,0,25,2808,999,1
17.01.2013,0,25,2628,299,1
25.01.2013,0,25,2629,299,1
19.01.2013,0,25,2631,299,1
10.01.2013,0,25,2640,349,1
04.01.2013,0,25,2822,399,1
21.01.2013,0,25,2808,999,3
16.01.2013,0,25,2920,599,1
25.01.2013,0,25,2704,1799,1
30.01.2013,0,25,2703,599,1
18.01.2013,0,25,2088,1299,1
02.01.2013,0,25,2090,449,1
20.01.2013,0,25,2090,449,1
11.01.2013,0,25,2092,599,1
08.01.2013,0,25,2100,299,1
16.01.2013,0,25,2102,349,1
17.01.2013,0,25,2103,449,1
05.01.2013,0,25,2106,549,1
30.01.2013,0,25,2108,199,1
30.01.2013,0,25,2111,199,1
05.01.2013,0,25,2117,279,1
05.01.2013,0,25,2121,399,1
16.01.2013,0,25,2122,899,1
05.01.2013,0,25,2123,299,1
08.01.2013,0,25,2149,449,1
17.01.2013,0,25,2151,1099,1
27.01.2013,0,25,2160,949,1
08.01.2013,0,25,2164,899,1
02.01.2013,0,25,2389,999,1
18.01.2013,0,25,2389,999,1
03.01.2013,0,25,2179,299,1
06.01.2013,0,25,2179,299,1
18.01.2013,0,25,2179,299,1
20.01.2013,0,25,2179,299,1
13.01.2013,0,25,2186,1499,1
03.01.2013,0,25,2340,899,1
10.01.2013,0,25,2189,299,1
27.01.2013,0,25,2281,499.5,1
18.01.2013,0,25,2281,499.5,1
20.01.2013,0,25,2321,999,1
23.01.2013,0,25,2321,999,-1
31.01.2013,0,25,2321,999,1
29.01.2013,0,25,2333,549,1
07.01.2013,0,25,2252,599,1
12.01.2013,0,25,2252,599,1
18.01.2013,0,25,2252,599,1
21.01.2013,0,25,2252,599,1
23.01.2013,0,25,2252,599,1
28.01.2013,0,25,2252,599,1
30.01.2013,0,25,2252,599,1
03.01.2013,0,25,2253,2199,1
18.01.2013,0,25,2253,2199,1
26.01.2013,0,25,2254,2199,1
18.01.2013,0,25,2255,299,1
09.01.2013,0,25,2256,299,1
18.01.2013,0,25,2256,299,1
09.01.2013,0,25,2257,299,1
18.01.2013,0,25,2257,299,2
09.01.2013,0,25,2258,299,2
13.01.2013,0,25,2258,299,1
18.01.2013,0,25,2258,299,2
07.01.2013,0,25,2281,499.5,1
11.01.2013,0,25,2281,499.5,1
12.01.2013,0,25,2281,499.5,2
20.01.2013,0,25,2281,999,2
26.01.2013,0,25,2189,299,1
05.01.2013,0,25,2199,1449,1
07.01.2013,0,25,2199,1449,-1
25.01.2013,0,25,2439,299,1
29.01.2013,0,25,2439,299,1
30.01.2013,0,25,2439,299,1
31.01.2013,0,25,2439,299,1
02.01.2013,0,25,2441,1199,1
20.01.2013,0,25,2461,399,1
02.01.2013,0,25,2678,999,1
07.01.2013,0,25,2678,999,3
15.01.2013,0,25,2678,999,1
28.01.2013,0,25,2678,998.5,1
16.01.2013,0,25,2462,99,1
26.01.2013,0,25,2680,899,2
02.01.2013,0,25,2682,1499,1
04.01.2013,0,25,2682,1499,1
07.01.2013,0,25,2682,1499,1
20.01.2013,0,25,2682,1499,1
04.01.2013,0,25,2703,599,1
06.01.2013,0,25,2703,599,1
08.01.2013,0,25,2703,599,1
09.01.2013,0,25,2703,599,1
13.01.2013,0,25,2703,599,1
18.01.2013,0,25,2703,599,1
21.01.2013,0,25,2703,599,1
22.01.2013,0,25,2703,599,1
27.01.2013,0,25,2703,599,1
